home_team,schedule_team,schedule_matchup,DATE,TIME,location
CHA,MEM,@ Memphis,2025-01-22,8:00 PM,away
CHA,NOP,vs New Orleans,2025-01-25,7:00 PM,home
CHA,BKN,vs Brooklyn,2025-01-29,7:00 PM,home
CHA,DEN,vs Denver,2025-02-01,7:00 PM,home
CHA,MIL,vs Milwaukee,2025-02-05,7:00 PM,home
CHA,DET,@ Detroit,2025-02-09,1:00 PM,away
CHA,ORL,@ Orlando,2025-02-12,7:00 PM,away
CHA,DEN,@ Denver,2025-02-20,9:00 PM,away
CHA,SAC,@ Sacramento,2025-02-24,10:00 PM,away
CHA,DAL,@ Dallas,2025-02-27,8:30 PM,away
CHA,GSW,vs Golden State,2025-03-03,7:00 PM,home
CHA,CLE,vs Cleveland,2025-03-07,7:00 PM,home
CHA,MIA,@ Miami,2025-03-10,7:30 PM,away
CHA,SAS,@ San Antonio,2025-03-14,8:00 PM,away
CHA,ATL,vs Atlanta,2025-03-18,7:00 PM,home
CHA,OKC,@ Oklahoma City,2025-03-21,8:00 PM,away
CHA,ORL,vs Orlando,2025-03-25,7:00 PM,home
CHA,NOP,@ New Orleans,2025-03-30,7:00 PM,away
CHA,IND,@ Indiana,2025-04-02,7:00 PM,away
CHA,CHI,vs Chicago,2025-04-06,1:00 PM,home
CHA,TOR,@ Toronto,2025-04-09,7:30 PM,away
