home_team,schedule_team,schedule_matchup,DATE,TIME,location
CHI,GSW,@ Golden State,2025-01-23,10:00 PM,away
CHI,DEN,vs Denver,2025-01-27,8:00 PM,home
CHI,TOR,@ Toronto,2025-01-31,7:30 PM,away
CHI,MIA,vs Miami,2025-02-04,8:00 PM,home
CHI,GSW,vs Golden State,2025-02-08,8:00 PM,home
CHI,DET,vs Detroit,2025-02-12,8:00 PM,home
CHI,PHX,vs Phoenix,2025-02-22,5:00 PM,home
CHI,LAC,vs LA,2025-02-26,8:00 PM,home
CHI,IND,@ Indiana,2025-03-02,5:00 PM,away
CHI,MIA,@ Miami,2025-03-08,8:00 PM,away
CHI,ORL,@ Orlando,2025-03-12,7:00 PM,away
CHI,HOU,@ Houston,2025-03-15,8:00 PM,away
CHI,PHX,@ Phoenix,2025-03-19,10:00 PM,away
CHI,LAL,@ Los Angeles,2025-03-22,10:30 PM,away
CHI,LAL,vs Los Angeles,2025-03-27,8:00 PM,home
CHI,OKC,@ Oklahoma City,2025-03-31,8:00 PM,away
CHI,POR,vs Portland,2025-04-04,8:00 PM,home
CHI,CLE,@ Cleveland,2025-04-08,7:00 PM,away
CHI,WAS,vs Washington,2025-04-11,8:00 PM,home
