home_team,schedule_team,schedule_matchup,DATE,TIME,location
CLE,HOU,@ Houston,2025-01-22,8:00 PM,away
CLE,HOU,vs Houston,2025-01-25,7:30 PM,home
CLE,MIA,@ Miami,2025-01-29,7:30 PM,away
CLE,DAL,vs Dallas,2025-02-02,3:30 PM,home
CLE,DET,@ Detroit,2025-02-05,7:00 PM,away
CLE,MIN,vs Minnesota,2025-02-10,7:00 PM,home
CLE,BKN,@ Brooklyn,2025-02-20,7:30 PM,away
CLE,MEM,vs Memphis,2025-02-23,7:30 PM,home
CLE,BOS,@ Boston,2025-02-28,7:30 PM,away
CLE,CHI,@ Chicago,2025-03-04,8:00 PM,away
CLE,CHA,@ Charlotte,2025-03-07,7:00 PM,away
CLE,BKN,vs Brooklyn,2025-03-11,7:00 PM,home
CLE,ORL,vs Orlando,2025-03-16,6:00 PM,home
CLE,SAC,@ Sacramento,2025-03-19,10:00 PM,away
CLE,UTA,@ Utah,2025-03-23,3:30 PM,away
CLE,SAS,vs San Antonio,2025-03-27,7:00 PM,home
CLE,LAC,vs LA,2025-03-30,3:30 PM,home
CLE,SAS,@ San Antonio,2025-04-04,8:00 PM,away
CLE,CHI,vs Chicago,2025-04-08,7:00 PM,home
CLE,NYK,@ New York,2025-04-11,7:30 PM,away
