home_team,schedule_team,schedule_matchup,DATE,TIME,location
DEN,SAC,vs Sacramento,2025-01-23,9:00 PM,home
DEN,CHI,@ Chicago,2025-01-27,8:00 PM,away
DEN,PHI,@ Philadelphia,2025-01-31,7:30 PM,away
DEN,NOP,vs New Orleans,2025-02-03,9:00 PM,home
DEN,ORL,vs Orlando,2025-02-06,9:00 PM,home
DEN,POR,vs Portland,2025-02-10,9:00 PM,home
DEN,CHA,vs Charlotte,2025-02-20,9:00 PM,home
DEN,IND,@ Indiana,2025-02-24,7:00 PM,away
DEN,DET,@ Detroit,2025-02-28,7:00 PM,away
DEN,SAC,vs Sacramento,2025-03-05,9:00 PM,home
DEN,OKC,@ Oklahoma City,2025-03-09,1:00 PM,away
DEN,MIN,vs Minnesota,2025-03-12,10:00 PM,home
DEN,WAS,vs Washington,2025-03-15,9:00 PM,home
DEN,LAL,@ Los Angeles,2025-03-19,10:00 PM,away
DEN,HOU,@ Houston,2025-03-23,7:00 PM,away
DEN,MIL,vs Milwaukee,2025-03-26,9:00 PM,home
DEN,MIN,vs Minnesota,2025-04-01,10:00 PM,home
DEN,GSW,@ Golden State,2025-04-04,10:00 PM,away
DEN,SAC,@ Sacramento,2025-04-09,10:00 PM,away
