home_team,schedule_team,schedule_matchup,DATE,TIME,location
DET,HOU,@ Houston,2025-01-20,2:00 PM,away
DET,ORL,@ Orlando,2025-01-25,7:00 PM,away
DET,IND,@ Indiana,2025-01-29,7:00 PM,away
DET,CHI,vs Chicago,2025-02-02,3:00 PM,home
DET,CLE,vs Cleveland,2025-02-05,7:00 PM,home
DET,CHA,vs Charlotte,2025-02-09,1:00 PM,home
DET,CHI,@ Chicago,2025-02-12,8:00 PM,away
DET,ATL,@ Atlanta,2025-02-23,6:00 PM,away
DET,BOS,vs Boston,2025-02-26,7:00 PM,home
DET,BKN,vs Brooklyn,2025-03-01,7:00 PM,home
DET,LAC,@ LA,2025-03-05,10:30 PM,away
DET,POR,@ Portland,2025-03-09,9:00 PM,away
DET,WAS,vs Washington,2025-03-13,7:00 PM,home
DET,NOP,@ New Orleans,2025-03-17,8:00 PM,away
DET,DAL,@ Dallas,2025-03-21,8:30 PM,away
DET,SAS,vs San Antonio,2025-03-25,7:00 PM,home
DET,MIN,@ Minnesota,2025-03-30,7:00 PM,away
DET,TOR,@ Toronto,2025-04-04,7:30 PM,away
DET,SAC,vs Sacramento,2025-04-07,7:00 PM,home
DET,MIL,vs Milwaukee,2025-04-11,7:00 PM,home
