home_team,schedule_team,schedule_matchup,DATE,TIME,location
GSW,SAC,@ Sacramento,2025-01-22,10:00 PM,away
GSW,LAL,vs Los Angeles,2025-01-25,8:30 PM,home
GSW,OKC,vs Oklahoma City,2025-01-29,10:00 PM,home
GSW,ORL,vs Orlando,2025-02-03,10:00 PM,home
GSW,LAL,@ Los Angeles,2025-02-06,10:00 PM,away
GSW,MIL,@ Milwaukee,2025-02-10,8:00 PM,away
GSW,HOU,@ Houston,2025-02-13,8:00 PM,away
GSW,DAL,vs Dallas,2025-02-23,3:30 PM,home
GSW,ORL,@ Orlando,2025-02-27,7:00 PM,away
GSW,CHA,@ Charlotte,2025-03-03,7:00 PM,away
GSW,BKN,@ Brooklyn,2025-03-06,7:30 PM,away
GSW,POR,vs Portland,2025-03-10,10:00 PM,home
GSW,NYK,vs New York,2025-03-15,8:30 PM,home
GSW,TOR,vs Toronto,2025-03-19,10:00 PM,home
GSW,ATL,@ Atlanta,2025-03-22,7:00 PM,away
GSW,NOP,@ New Orleans,2025-03-28,8:00 PM,away
GSW,MEM,@ Memphis,2025-04-01,8:00 PM,away
GSW,DEN,vs Denver,2025-04-04,10:00 PM,home
GSW,PHX,@ Phoenix,2025-04-08,10:00 PM,away
GSW,POR,@ Portland,2025-04-11,10:00 PM,away
