home_team,schedule_team,schedule_matchup,DATE,TIME,location
LAL,BOS,vs Boston,2025-01-23,10:00 PM,home
LAL,CHA,@ Charlotte,2025-01-27,7:00 PM,away
LAL,WAS,@ Washington,2025-01-30,7:00 PM,away
LAL,LAC,@ LA,2025-02-04,10:00 PM,away
LAL,IND,vs Indiana,2025-02-08,4:00 PM,home
LAL,UTA,@ Utah,2025-02-12,9:00 PM,away
LAL,POR,@ Portland,2025-02-20,10:00 PM,away
LAL,DAL,vs Dallas,2025-02-25,10:00 PM,home
LAL,LAC,vs LA,2025-02-28,10:00 PM,home
LAL,NOP,vs New Orleans,2025-03-04,10:30 PM,home
LAL,BOS,@ Boston,2025-03-08,8:30 PM,away
LAL,MIL,@ Milwaukee,2025-03-13,7:30 PM,away
LAL,PHX,vs Phoenix,2025-03-16,3:30 PM,home
LAL,DEN,vs Denver,2025-03-19,10:00 PM,home
LAL,ORL,@ Orlando,2025-03-24,7:00 PM,away
LAL,CHI,@ Chicago,2025-03-27,8:00 PM,away
LAL,HOU,vs Houston,2025-03-31,10:30 PM,home
LAL,NOP,vs New Orleans,2025-04-04,10:30 PM,home
LAL,OKC,@ Oklahoma City,2025-04-08,8:00 PM,away
LAL,HOU,vs Houston,2025-04-11,10:30 PM,home
