home_team,schedule_team,schedule_matchup,DATE,TIME,location
PHX,BKN,@ Brooklyn,2025-01-22,7:30 PM,away
PHX,LAC,vs LA,2025-01-27,9:30 PM,home
PHX,GSW,@ Golden State,2025-01-31,10:00 PM,away
PHX,POR,@ Portland,2025-02-03,10:00 PM,away
PHX,UTA,vs Utah,2025-02-07,10:00 PM,home
PHX,MEM,vs Memphis,2025-02-11,10:00 PM,home
PHX,SAS,@ San Antonio,2025-02-20,9:30 PM,away
PHX,TOR,@ Toronto,2025-02-23,6:00 PM,away
PHX,NOP,vs New Orleans,2025-02-27,10:00 PM,home
PHX,MIN,vs Minnesota,2025-03-02,9:30 PM,home
PHX,DEN,@ Denver,2025-03-07,10:00 PM,away
PHX,MEM,@ Memphis,2025-03-10,8:00 PM,away
PHX,SAC,vs Sacramento,2025-03-14,10:00 PM,home
PHX,TOR,vs Toronto,2025-03-17,10:00 PM,home
PHX,CLE,vs Cleveland,2025-03-21,10:00 PM,home
PHX,BOS,vs Boston,2025-03-26,10:00 PM,home
PHX,HOU,vs Houston,2025-03-30,9:00 PM,home
PHX,BOS,@ Boston,2025-04-04,7:30 PM,away
PHX,GSW,vs Golden State,2025-04-08,10:00 PM,home
PHX,SAS,vs San Antonio,2025-04-11,10:00 PM,home
