home_team,schedule_team,schedule_matchup,DATE,TIME,location
SAC,GSW,vs Golden State,2025-01-22,10:00 PM,home
SAC,NYK,@ New York,2025-01-25,7:30 PM,away
SAC,PHI,@ Philadelphia,2025-01-29,7:30 PM,away
SAC,MIN,@ Minnesota,2025-02-03,8:00 PM,away
SAC,POR,@ Portland,2025-02-06,10:00 PM,away
SAC,DAL,@ Dallas,2025-02-10,8:30 PM,away
SAC,NOP,@ New Orleans,2025-02-13,8:00 PM,away
SAC,CHA,vs Charlotte,2025-02-24,10:00 PM,home
SAC,HOU,@ Houston,2025-03-01,8:00 PM,away
SAC,DEN,@ Denver,2025-03-05,9:00 PM,away
SAC,LAC,@ LA,2025-03-09,9:30 PM,away
SAC,GSW,@ Golden State,2025-03-13,10:00 PM,away
SAC,MEM,vs Memphis,2025-03-17,10:00 PM,home
SAC,CHI,vs Chicago,2025-03-20,10:00 PM,home
SAC,BOS,vs Boston,2025-03-24,10:00 PM,home
SAC,POR,vs Portland,2025-03-27,10:00 PM,home
SAC,IND,@ Indiana,2025-03-31,7:00 PM,away
SAC,CHA,@ Charlotte,2025-04-04,7:00 PM,away
SAC,DET,@ Detroit,2025-04-07,7:00 PM,away
SAC,LAC,vs LA,2025-04-11,10:00 PM,home
