home_team,schedule_team,schedule_matchup,DATE,TIME,location
TOR,ORL,vs Orlando,2025-01-21,7:30 PM,home
TOR,ATL,@ Atlanta,2025-01-25,7:30 PM,away
TOR,WAS,@ Washington,2025-01-29,7:00 PM,away
TOR,LAC,vs LA,2025-02-02,3:30 PM,home
TOR,MEM,vs Memphis,2025-02-05,7:30 PM,home
TOR,HOU,@ Houston,2025-02-09,2:00 PM,away
TOR,CLE,vs Cleveland,2025-02-12,7:30 PM,home
TOR,PHX,vs Phoenix,2025-02-23,6:00 PM,home
TOR,IND,@ Indiana,2025-02-26,7:00 PM,away
TOR,ORL,@ Orlando,2025-03-02,6:00 PM,away
TOR,UTA,vs Utah,2025-03-07,7:30 PM,home
TOR,WAS,vs Washington,2025-03-10,7:30 PM,home
TOR,UTA,@ Utah,2025-03-14,9:30 PM,away
TOR,PHX,@ Phoenix,2025-03-17,10:00 PM,away
TOR,SAS,vs San Antonio,2025-03-23,6:00 PM,home
TOR,BKN,@ Brooklyn,2025-03-26,7:30 PM,away
TOR,PHI,@ Philadelphia,2025-03-30,7:30 PM,away
TOR,POR,vs Portland,2025-04-03,7:30 PM,home
TOR,BKN,@ Brooklyn,2025-04-06,3:30 PM,away
TOR,DAL,@ Dallas,2025-04-11,8:30 PM,away
