home_team,schedule_team,schedule_matchup,DATE,TIME,location
WAS,LAC,@ LA,2025-01-23,10:30 PM,away
WAS,DAL,@ Dallas,2025-01-27,8:30 PM,away
WAS,LAL,vs Los Angeles,2025-01-30,7:00 PM,home
WAS,CHA,@ Charlotte,2025-02-03,7:00 PM,away
WAS,CLE,vs Cleveland,2025-02-07,7:00 PM,home
WAS,SAS,vs San Antonio,2025-02-10,7:00 PM,home
WAS,MIL,vs Milwaukee,2025-02-21,7:00 PM,home
WAS,BKN,vs Brooklyn,2025-02-24,7:00 PM,home
WAS,CHA,@ Charlotte,2025-03-01,6:00 PM,away
WAS,UTA,vs Utah,2025-03-05,7:00 PM,home
WAS,TOR,@ Toronto,2025-03-10,7:30 PM,away
WAS,DET,@ Detroit,2025-03-13,7:00 PM,away
WAS,POR,@ Portland,2025-03-17,10:00 PM,away
WAS,ORL,vs Orlando,2025-03-21,7:00 PM,home
WAS,TOR,vs Toronto,2025-03-24,7:00 PM,home
WAS,IND,vs Indiana,2025-03-27,7:00 PM,home
WAS,MIA,vs Miami,2025-03-31,7:00 PM,home
WAS,ORL,vs Orlando,2025-04-03,7:00 PM,home
WAS,IND,@ Indiana,2025-04-08,7:00 PM,away
WAS,CHI,@ Chicago,2025-04-11,8:00 PM,away
